s,C,m,m
Time,"DOOR_TEMP","DOOR_VIS","LAYER_HEIGHT_DOOR"
 0.0000000E+000, 2.0000000E+001, 3.0000000E+001, 3.5000000E+000
 4.8140802E-001, 1.9999981E+001, 3.0000000E+001, 3.5000000E+000
 7.2211203E-001, 2.0000610E+001, 3.0000000E+001, 3.5000000E+000
 9.6281605E-001, 2.0001703E+001, 3.0000000E+001, 3.5000000E+000
 1.2035201E+000, 2.0004111E+001, 3.0000000E+001, 3.5000000E+000
 1.6849281E+000, 2.0008472E+001, 3.0000000E+001, 3.5000000E+000
 1.9256321E+000, 2.0013236E+001, 3.0000000E+001, 3.5000000E+000
 2.1663361E+000, 2.0018115E+001, 3.0000000E+001, 3.5000000E+000
 2.4070401E+000, 2.0020920E+001, 3.0000000E+001, 3.5000000E+000
 2.8884481E+000, 2.0027140E+001, 3.0000000E+001, 3.5000000E+000
 3.1291522E+000, 2.0033191E+001, 3.0000000E+001, 3.5000000E+000
 3.3698562E+000, 2.0037278E+001, 3.0000000E+001, 3.5000000E+000
 3.6105602E+000, 2.0041686E+001, 3.0000000E+001, 3.5000000E+000
 4.0919682E+000, 2.0049055E+001, 3.0000000E+001, 3.5000000E+000
 4.3326722E+000, 2.0057481E+001, 3.0000000E+001, 3.5000000E+000
 4.5383870E+000, 2.0063032E+001, 3.0000000E+001, 3.5000000E+000
 4.9292254E+000, 2.0070952E+001, 3.0000000E+001, 3.5000000E+000
 5.1143492E+000, 2.0079321E+001, 3.0000000E+001, 3.5000000E+000
 5.4845967E+000, 2.0087975E+001, 3.0000000E+001, 3.5000000E+000
 5.8548442E+000, 2.0099987E+001, 3.0000000E+001, 3.5000000E+000
 6.0399680E+000, 2.0109306E+001, 3.0000000E+001, 3.5000000E+000
 6.4102155E+000, 2.0119157E+001, 3.0000000E+001, 3.5000000E+000
 6.7804630E+000, 2.0133099E+001, 3.0000000E+001, 3.5000000E+000
 6.9655867E+000, 2.0144372E+001, 3.0000000E+001, 3.5000000E+000
 7.3358342E+000, 2.0156393E+001, 3.0000000E+001, 3.5000000E+000
 7.5209580E+000, 2.0168856E+001, 3.0000000E+001, 3.5000000E+000
 7.8912055E+000, 2.0181569E+001, 3.0000000E+001, 3.5000000E+000
 8.2328399E+000, 2.0198675E+001, 3.0000000E+001, 3.5000000E+000
 8.5458612E+000, 2.0215447E+001, 3.0000000E+001, 3.5000000E+000
 8.7023718E+000, 2.0228006E+001, 3.0000000E+001, 3.5000000E+000
 9.1164216E+000, 2.0243271E+001, 3.0000000E+001, 3.5000000E+000
 9.3924549E+000, 2.0262622E+001, 3.0000000E+001, 3.5000000E+000
