s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000,-6.4843287E-003, 1.2805804E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.4715229E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9654779E+000
 4.8140803E-001, 5.3114347E+000, 1.2356435E-004,-1.5410315E-002, 1.5958286E-005,-7.1659718E-004, 1.1418206E+000, 0.0000000E+000,-4.8733161E-001, 6.4372679E+000, 4.0477095E+000, 2.3958305E-004, 0.0000000E+000,-2.9501768E+000
 7.2211206E-001, 1.7406503E+001,-6.3561383E-003,-2.6328606E-002,-1.3896094E-002,-1.3048507E-003, 5.7733600E+000, 0.0000000E+000, 1.3626590E+001, 2.3131978E+001, 1.5335546E+001, 4.7916609E-004, 0.0000000E+000,-2.1061274E+000
 9.6281606E-001, 4.1877882E+001,-3.8267053E+000,-1.5320334E-002,-5.2731420E-002,-1.8102747E-003, 1.1253707E+001, 0.0000000E+000, 2.2938563E+001, 4.9235021E+001, 2.1192003E+001, 6.3888813E-004, 0.0000000E+000,-7.3705067E-001
 1.2035201E+000, 4.1110903E+001,-7.6009848E+000,-1.7236478E-002,-1.4828294E-001,-2.2850097E-003, 1.4410966E+001, 0.0000000E+000, 5.1665436E+001, 4.7753081E+001, 2.5556254E+001, 7.9861016E-004, 0.0000000E+000, 2.2087303E+000
 1.6849281E+000, 7.0635157E+001,-1.5013694E+001, 1.3758662E-002,-3.5020936E-001,-3.0985643E-003, 2.1508565E+001, 0.0000000E+000, 7.1300685E+001, 7.6790479E+001, 2.9639077E+001, 1.0381932E-003, 0.0000000E+000, 1.0227088E+001
 1.9256321E+000, 1.0173214E+002,-2.3978599E+001, 4.2192371E-002,-5.2919672E-001,-3.9546768E-003, 2.3379635E+001, 0.0000000E+000, 5.4142741E+001, 1.0064222E+002, 3.1999657E+001, 1.2777763E-003, 0.0000000E+000, 1.3282427E+001
 2.1663361E+000, 7.3978411E+001,-2.9161872E+001, 4.7531679E-002,-6.9566848E-001,-4.4881557E-003, 2.4221512E+001, 0.0000000E+000, 1.0641952E+002, 6.8385426E+001, 3.2852551E+001, 1.4374983E-003, 0.0000000E+000, 1.9193894E+001
 2.4070401E+000, 9.2076590E+001,-2.2130361E+001, 6.7153762E-002,-6.8973378E-001,-5.0192213E-003, 2.2682619E+001, 0.0000000E+000, 6.0353291E+001, 9.2001249E+001, 3.3390625E+001, 1.5972203E-003, 0.0000000E+000, 2.2587344E+001
